Time_Index,Load_MW_z1,Load_MW_z2
87,1624.9,1304.5
88,1591.2,1277.3
89,1578.4,1271.5
90,1624.3,1342.1
91,2345.3,2354.1
92,2443.3,2514.2
93,2010.4,1936.1
94,1951.7,1858.3
95,1481.3,1212.8
96,1489.2,1228.5
97,1813.1,1665.8
98,1837.5,1690.7
99,1832.4,1682.2
100,1818,1660.5
101,1682.1,1466.5
102,1693.9,1470.2
103,1738.2,1509.9
104,1767,1531.6
105,1792.1,1551.5
106,1855.4,1637.3
107,1619.7,1317.8
108,1726.8,1477
109,1559.3,1263.5
110,1654.6,1413
111,1486,1191.5
112,1660.6,1432.8
113,1775.5,1569.1
114,1974.9,1810.6
115,2078.5,1948.5
116,1835.6,1636.7
117,1590.6,1314.1
118,1550.3,1251.9
119,1785.7,1570.9
120,1800.2,1589.9
121,1670.3,1409.1
122,1595.7,1295.5
123,1601.2,1302.6
124,1604.4,1306.2
125,1614.9,1316.7
126,1645.7,1345.2
127,1696.6,1392.3
128,1734.6,1426.1
129,1744.5,1436.1
130,1730,1426.5
131,1700.9,1404.3
132,1817.8,1579.3
133,1727.8,1470
134,1782.9,1563.2
135,1769.6,1558.3
136,1891.7,1724.4
137,2414.3,2419.8
138,2330.9,2254.9
139,2372.2,2302.8
140,2468.7,2461.6
141,2343.5,2306.3
142,2176,2066.4
143,1914.2,1699.4
144,1715.3,1426.3
145,1742.8,1453.9
146,1767.9,1477.5
147,1771,1482.8
148,1771.3,1484.1
149,1781.4,1494.1
150,1819.2,1529.4
151,1907.2,1607.8
152,2223.6,1963.7
153,3139.6,3143.5
154,2747.1,2593.9
155,2354.1,2070.4
156,2137.4,1784.7
157,2166.3,1863.6
158,2077.4,1754.6
159,2116.7,1822.9
160,1984.4,1653
161,2173.8,1932.6
162,2068.6,1800.5
163,2386.2,2253.8
164,2700.5,2717.5
165,2583.3,2583.5
166,2437.9,2388.1
167,2310.9,2220.7
168,2154.7,2013.1
169,2025.9,1830.1
170,1968.9,1740.8
171,1879.4,1617.1
172,1878.1,1617.2
173,1884.3,1624.2
174,1924.2,1662.4
175,2017,1747.8
176,2352.2,2123.9
177,2749.2,2579.7
178,3216.6,3213.8
179,2733.3,2559.8
180,2445.5,2177.9
181,2807.1,2719.3
182,2749.4,2654.3
183,2398.1,2185.5
184,2270.2,2023
185,2370.8,2178.8
186,2339,2150.5
187,2527.7,2428.6
188,2633.1,2605.5
189,2281.1,2145.5
190,2385.9,2296.5
191,2364.7,2279.5
192,2098.6,1920.3
193,2085.8,1896.3
194,2009.2,1782
195,2146,1970.8
196,2142.7,1969.3
197,2152,1978.3
198,2185.7,2007.3
199,2171.6,1942.9
200,2452.6,2243.7
201,2863.7,2717.9
202,3003.1,2900.2
203,2737.5,2546.5
204,2583.7,2348.2
205,2654.6,2487.2
206,2451,2216.1
207,2214.1,1903.3
208,2197.2,1890.1
209,2322.4,2079.5
210,2487.8,2320.4
211,2833.6,2812.2
212,3115.7,3233.8
213,2535.3,2459.9
214,2499,2410.8
215,2535,2464.4
216,2245.1,2068.3
217,2170.8,1957.1
218,2113.3,1867.4
219,2118.9,1873.4
220,2117.4,1871.7
221,2126.9,1880.2
222,2170.7,1921.3
223,2280.5,2021.4
224,2587.4,2356.8
225,2946.9,2759.4
226,3065.3,2913.7
227,3176.5,3082.3
228,3101.9,2996.1
229,2719.2,2510.9
230,2554.4,2296.8
231,2692.2,2499.3
232,2507.9,2259.6
233,2525.1,2300
234,2829.1,2734.4
235,3066.3,3082.4
236,2660.1,2563
237,2338,2150.3
238,2511,2398.3
239,2607.8,2547.3
240,2404.4,2278.4
241,2245.7,2054.5
242,2108.8,1861.3
243,2092.2,1840
244,2074.9,1824.1
245,2065.9,1816.2
246,2088.4,1838.2
247,2212.7,1972.6
248,2525.8,2329.5
249,2754.4,2563.5
250,2897.9,2761.6
251,2821.6,2677.6
252,2584.2,2372.2
253,2349.4,2097.2
254,2153.5,1850.3
255,2110.3,1814.7
256,2089.3,1814.5
257,2265.1,2074.9
258,2688.3,2662.3
259,2572.2,2523.2
260,2525.2,2495
261,2946,3104.6
262,2858,2991.8
263,2584.1,2622.8
264,2345.5,2306.4
265,2200.1,2106.4
266,2158.9,2048.5
267,1853.7,1633.4
268,1813.4,1583.9
269,1808.5,1579.2
270,1825.9,1597.1
271,1870.6,1641.8
272,1910.6,1680.2
273,1944,1711.8
274,2048.5,1858.3
275,2046.2,1870
276,1941.9,1744.4
277,1768.9,1531.4
278,1753.1,1535.3
279,1811,1632.6
280,1652.4,1420
281,2083,1999.6
282,2003.3,1863.9
283,1930.5,1767.2
284,2184.9,2144.2
285,2204.3,2190.2
286,1949.1,1837.2
287,2237.8,2234.8
288,2264.6,2274.4
289,2050.4,1977.3
290,1849.8,1696
291,1650.1,1425.1
292,1640.1,1415.3
293,1637.1,1412.1
294,1653.5,1428.4
295,1689.9,1464.1
296,1716.1,1487.9
297,1856.5,1683.9
298,1690,1463.4
299,1787,1613.7
300,1731.4,1550.6
301,1654,1455.3
302,1764.1,1621.6
303,1803.4,1688.7
304,1688.1,1534
305,1766.9,1628.8
306,1759.7,1583.8
307,1767,1590.6
308,1710.3,1534.9
309,1791.9,1663.7
310,2043.8,2007.4
311,1744.2,1592.4
312,1583,1373.2
313,1701.1,1530.8
314,1573.5,1346.3
315,1570.1,1344.1
316,1568.7,1341.5
317,1577.9,1348.5
318,1606.6,1375
319,1730.9,1505.7
320,2054.2,1864.6
321,2587,2505.2
322,2367.5,2188.8
323,2129.8,1869.2
324,2140.8,1892
325,2206.2,2021.1
326,1925.4,1639.2
327,2043.6,1813.2
328,1946.9,1694.6
329,2085.6,1920.2
330,2174.4,2074.2
331,2159.3,2066.3
332,2545,2622
333,2653,2793
334,2140.6,2095.3
335,1789.9,1628.7
336,1603.6,1381.1
337,1606.6,1380.1
338,1626.7,1399.8
339,1632.4,1405.8
340,1629.8,1404
341,1635.7,1410.2
342,1668.8,1441.9
343,1814.6,1600.7
344,2051.2,1838
345,2310.4,2098.2
346,2107.9,1805.4
347,2161.2,1885.8
348,2057.9,1753
349,1974,1673.1
350,2009.3,1726.8
351,2011.6,1741.5
352,1947.4,1672
353,2287.7,2174.6
354,2288.2,2202.8
355,2897,3056.6
356,2594.9,2662.4
357,2175.9,2106.9
358,2055,1950.6
359,2352.9,2381.4
360,2038.5,1954.3
361,1945.4,1820.7
362,1975.7,1854.1
363,1877,1717.7
364,1873.7,1713.4
365,1867.6,1700
366,1786.6,1572.2
367,1919.4,1711.8
368,2363,2231.5
369,2576,2427
370,2219.8,1923
371,2507.2,2327.3
372,2613.2,2480.8
373,2714,2657.8
374,2556.5,2443.1
375,2547.8,2436.8
376,2303.5,2111.8
377,2381.7,2241.5
378,2231.6,2057.3
379,2687.8,2702.1
380,2163.9,2008
381,1997.3,1803.3
382,1860.8,1622.7
383,1892.8,1678.3
384,1912.9,1711.8
385,1973.6,1789.4
386,1832,1585.5
387,1821.2,1570.1
388,1817.3,1566.3
389,1823.6,1572.1
390,1859.9,1605.6
391,2105.4,1895.2
392,2405.5,2215.5
393,2589.2,2369.6
394,2478.3,2202.6
395,2580.8,2355.8
396,2588.6,2378.9
397,2344.2,2084.8
398,2354.7,2110.1
399,2382.8,2165.7
400,2413.5,2223.8
401,2461.7,2317
402,2352.6,2188.8
403,2964.8,3048.5
404,2652.4,2649.3
405,2412.3,2346.8
406,2178,2033.9
407,2096.5,1941.6
408,2252.4,2167.7
409,2336.7,2279.2
410,2091.3,1933.9
411,2022.2,1840.3
412,2095.4,1946.3
413,2134.1,2000.6
414,2034.3,1850.2
415,1965.2,1714
416,2237,2004.4
417,2584.4,2392.4
418,2586.2,2387.7
419,2448.6,2212.8
420,2270.3,1982.8
421,2086.4,1773.3
422,2084,1788.5
423,2462.6,2330
424,2146.6,1923.2
425,2064.8,1834.7
426,2359.8,2247.4
427,2307,2190.7
428,2042.3,1858.1
429,1962.3,1773
430,2477.2,2489.3
431,2117.7,2001
432,2167.7,2078.2
433,2118.6,2010.1
434,2253.9,2191.3
435,2117.2,2005.1
436,1934.9,1757.5
437,1809.6,1585
438,1783.2,1538.3
439,1837.7,1591.5
440,1890,1638.9
441,2022.9,1800.7
442,2220.6,2072.1
443,2260.3,2137.6
444,2249.3,2139.1
445,2456.6,2449.8
446,2244.3,2179.7
447,2072.4,1957.9
448,1889,1709.7
449,1901.9,1711.2
450,2174.9,2053
451,2146.8,2013.6
452,2048.1,1903.4
453,1984.2,1834.3
454,2127.9,2027.9
455,2104.7,1990.4
456,2082.9,1961.4
457,1923.5,1733.1
458,1786.1,1534
459,1771.4,1514.6
460,1767.3,1510
461,1770.1,1512.6
462,1796.6,1538.6
463,1846,1585
464,1883.3,1620.8
465,1888.8,1628.1
466,1871,1610.6
467,1926.9,1700.4
468,2005.7,1822.7
469,2048.9,1895.4
470,1975.2,1811
471,1725,1479.1
472,1867.8,1678.5
473,1918.2,1727.5
474,2200.9,2071.2
475,2356.5,2279.7
476,2042,1874.5
477,1988.4,1820.7
478,2105.9,1975.5
479,1893.9,1676.6
480,2012.5,1840.7
481,2032.8,1857.1
482,1841.1,1581.7
483,1840.8,1581.8
484,1837.7,1578.3
485,1848.8,1587.5
486,1883,1619.3
487,1975.8,1699.3
488,2131.3,1824
489,2598.5,2373
490,2361.3,2039.1
491,2301.3,1970.3
492,2395,2114.9
493,2353.7,2107.5
494,2361.9,2132.9
495,2228.3,1967.4
496,2138.2,1863.2
497,2062.9,1793.5
498,2322.4,2178.5
499,2483.5,2417.2
500,2646.2,2676.5
501,2226.1,2130.5
502,2200.7,2112.4
503,2354.4,2348.5
504,2135.5,2062.8
505,2128.5,2055.3
506,1975.7,1843.6
507,1792.4,1596.3
508,1644.8,1403.7
509,1632,1392.6
510,1648.2,1407.3
511,1721.2,1472.2
512,1865.5,1588.3
513,2095.6,1815.9
514,2328.2,2129.6
515,1999,1687.8
516,1987.9,1690.5
517,1851.9,1543.3
518,2237.1,2081.4
519,2148.1,1973.5
520,1749.6,1447.7
521,1953.9,1771.9
522,2041,1927.4
523,1947,1816.1
524,2102.2,2053
525,1825.3,1697.9
526,1664.3,1497.2
527,1625.1,1471.5
528,1791.2,1713.1
529,1640.6,1505.4
530,1446.5,1234.3
531,1426.9,1211.2
532,1420.1,1204.8
533,1417.2,1203.2
534,1436.7,1221.9
535,1551.2,1346.7
536,1830.2,1648.4
537,2032,1835.1
538,2052.7,1853.4
539,1966.5,1739.4
540,2308.4,2220.4
541,2218.4,2138.1
542,2330.8,2295.5
543,2275.7,2225.5
544,2419.8,2444
545,2151.9,2108.4
546,2000,1939.7
547,1809.1,1697.2
548,1972.6,1945.6
549,2025.2,2043.8
550,1828,1791
551,1780.7,1750.2
552,1518.2,1400.8
553,1389,1225.4
554,1293.8,1092.3
555,1461.7,1328.2
556,1373.7,1210.9
557,1272.2,1072.3
558,1289,1088.1
559,1397.2,1206.1
560,1678,1508.8
561,1788.6,1569.4
562,2076.3,1949.6
563,1721.2,1463.7
564,1913.9,1733.5
565,1680.3,1447.6
566,1685.9,1456.1
567,1709.4,1498.3
568,1683,1477
569,1629.7,1440.8
570,1811.2,1731.4
571,1684.3,1566.8
572,2173.9,2258.6
573,1838.7,1814.1
574,1641.9,1554.9
575,1636.7,1570.5
576,1676.5,1636.1
577,1483.9,1366.6
578,1639.8,1577.3
579,1591,1511.9
580,1434.9,1296
581,1321.7,1138.2
582,1303.7,1101.7
583,1376.5,1167.7
584,1522.8,1287
585,1803.3,1583.2
586,1933.8,1749.1
587,1741.1,1488.4
588,2003.1,1855
589,2264.1,2248.4
590,2195.2,2161.6
591,2007.4,1913.4
592,1773.3,1617.9
593,1762.9,1637.6
594,1613.4,1453.8
595,2003.9,2007.9
596,2500.8,2715.4
597,2161.4,2265.7
598,1669.3,1596.9
599,1641.7,1570
600,1376.2,1210.5
601,1277.8,1073.5
602,1373.9,1202.6
603,1459.5,1322.7
604,1464.8,1329.9
605,1337.9,1153.9
606,1476.1,1337.1
607,1517.7,1376.9
608,1555.8,1412.3
609,1659.8,1534
610,1569.8,1398.8
611,1419.4,1189.2
612,1435.2,1222.3
613,1410,1205.1
614,1626.9,1518
615,1572.3,1451.9
616,1742.9,1691.4
617,1722.5,1659.5
618,1668.5,1565
619,1630.3,1513.2
620,1634.8,1536.2
621,2049.6,2120.8
622,1891.7,1899.7
623,1498.6,1351.9
624,1448.1,1283.7
625,1317.8,1099.1
626,1338.3,1116.6
627,1343,1121.3
628,1338.9,1117.6
629,1339.9,1119.3
630,1358.5,1137.6
631,1396.6,1173.7
632,1422.3,1195.2
633,1519.9,1327.8
634,1473.8,1265.6
635,1705.6,1591.5
636,1458,1253.9
637,1540.4,1374.5
638,1398.5,1189.1
639,1513.5,1355
640,1556.7,1415.3
641,2266.6,2378
642,2648.8,2871.5
643,2470.2,2620.1
644,1817,1737.7
645,1934.7,1912.9
646,1864.4,1809.8
647,2002.3,1996.4
648,2075.4,2097.2
649,1792.3,1703.7
650,1810.9,1721.7
651,1777.3,1675.6
652,1625.7,1466.5
653,1512.3,1306.2
654,1497.6,1272.8
655,1579,1344.2
656,1730.6,1464.4
657,1981.4,1714
658,2168.2,1960.6
659,1893.4,1586.7
660,1874.7,1566.8
661,1805.7,1508.2
662,1848.2,1568.6
663,1812.7,1529
664,1749.9,1461
665,1737.2,1477.7
666,2515.3,2583.4
667,2432.6,2483.1
668,2680.3,2847.7
669,2556.8,2702.6
670,2159.1,2168.4
671,1844.4,1749.4
672,1873.7,1798.4
673,1591,1408.7
674,1505.8,1286.7
675,1503.6,1284.8
676,1497.3,1279
677,1500,1281.2
678,1527.6,1306.6
679,1605,1376.2
680,1807.9,1565.7
681,2189.5,1999.7
682,2757.9,2770.5
683,2670.2,2655.9
684,2120.2,1909.8
685,2012.8,1801.3
686,2111.2,1940
687,2056.9,1876.6
688,2066.2,1907
689,2247.3,2195.9
690,1933.7,1797.8
691,2028.1,1943.3
692,2276.4,2308.1
693,2030,1991.6
694,1979.4,1943.5
695,1986.6,1977.9
696,1756.8,1674.3
697,1691.7,1586
698,1596.1,1450.8
699,1500.6,1323.2
700,1406.4,1196.6
701,1403.7,1194.7
702,1422.1,1212.5
703,1491.9,1275.5
704,1638.7,1394.8
705,2057.6,1882.4
706,2424.1,2374.8
707,2503.3,2486.6
708,2541.4,2548
709,2162.4,2063.9
710,2071.9,1941.6
711,2135.2,2037
712,1953.8,1804.1
713,1978.5,1873
714,1998.3,1936.5
715,1957.9,1895
716,2165.5,2199.3
717,2237.2,2320.2
718,1780.8,1705.2
719,1557.4,1415.5
720,1709.6,1636.1
721,1433.4,1253.7
722,1379.5,1173.2
723,1383.3,1176.1
724,1381.5,1173.7
725,1385.5,1177.2
726,1412.8,1202.3
727,1483.3,1266.3
728,1737.5,1530.3
729,2014.3,1822.2
730,2208.6,2073.5
731,2102.4,1929.8
732,1778.7,1489.3
733,1843.3,1613.7
734,1860.8,1639.1
735,1758.4,1506.8
736,1633.1,1349.6
737,1849.8,1684
738,2183.2,2179.3
739,1904.2,1801
740,1825.7,1713.5
741,1746.8,1624.3
742,1485.8,1279.4
743,1750.9,1665.4
744,1743.7,1668.1
745,1740.2,1658.4
746,1750.1,1666.5
747,1723.7,1628.2
748,1451.7,1254.7
749,1396.4,1177.6
750,1421,1199.9
751,1488.2,1260.7
752,1627.4,1373.7
753,2042.7,1860.8
754,1978.5,1759.5
755,1849.7,1593.8
756,1725.9,1431
757,1760.6,1513.4
758,1810.8,1590
759,1621.2,1340.1
760,1593.3,1325.1
761,1569.2,1323.3
762,1700.3,1523.9
763,1855,1752.8
764,2143.1,2175.2
765,2022.7,2025
766,1622.5,1479.1
767,1561.3,1403
768,1678.2,1570.5
769,1760.6,1682.9
770,1579.1,1425
771,1552.5,1389.1
772,1393.2,1172.7
773,1381.3,1155.9
774,1402.1,1175.4
775,1446.8,1218.4
776,1486.2,1254.8
777,1518.9,1279
778,1534.5,1286.9
779,1538.2,1292
780,1534.2,1302.4
781,1650,1482.2
782,1407.4,1165.8
783,1377,1137.5
784,1669.5,1548.9
785,2056.6,2081.3
786,2078.8,2092.3
787,1863.6,1797.4
788,1658.7,1538.2
789,1572.6,1441.5
790,1417,1230.1
791,1331.2,1111
792,1331.5,1117.7
793,1496.7,1344.6
794,1508.8,1356.9
795,1506,1354.5
796,1492.2,1342.4
797,1461.3,1305.5
798,1327.8,1119.9
799,1341.1,1127.7
800,1356.9,1141.8
801,1397.5,1202.6
802,1487.4,1331.3
803,1466.9,1312.1
804,1588.9,1486.3
805,1457.4,1312.1
806,1430.1,1285.5
807,1718.5,1689.3
808,1813.4,1822.4
809,1732,1699.2
810,1760.6,1715
811,1828.7,1805.4
812,1811.4,1800.4
813,1727.7,1696.7
814,1484.3,1357.5
815,1374.5,1206
816,1254,1043.1
817,1348.4,1173.6
818,1373.2,1200.6
819,1269.8,1059.6
820,1261.1,1051.8
821,1267.3,1056.2
822,1332.6,1136.6
823,1365.3,1147.7
824,1584.3,1364.6
825,1875.5,1677.7
826,2042.7,1892.8
827,1932.5,1739.2
828,1665.6,1370.3
829,1682.4,1424.5
830,1920.6,1753.3
831,1915.7,1755.2
832,1800.9,1618.4
833,1885.7,1776.1
834,1923.6,1874.2
835,2178.2,2241.6
836,1834.2,1788.2
837,1849.5,1832.8
838,1785.1,1761.4
839,1632.3,1568.5
840,1731.5,1716.5
841,1584.1,1512.7
842,1250.9,1050.7
843,1233.4,1030.4
844,1228.4,1026.1
845,1231.8,1029.7
846,1248.8,1046.8
847,1310.2,1102.2
848,1455.7,1220.6
849,1643.7,1391.8
850,2121.4,2032.6
851,1829.4,1630.7
852,1760.8,1538.9
853,1539.1,1266.9
854,1626.9,1390.6
855,1498.4,1226
856,1559.4,1326
857,1633.3,1469.4
858,1597.9,1467.7
859,1687,1601.5
860,1360.3,1165.2
861,1473.8,1336.6
862,1379.1,1222.9
863,1661.8,1633.5
864,1701.8,1700.9
865,1610.2,1576.3
866,1385.7,1262.3
867,1381.5,1259.4
868,1375.5,1254
869,1371.2,1246.6
870,1301.8,1143.6
871,1285.1,1089.1
872,1652.9,1513.2
873,1895.5,1758.9
874,1931.4,1790.9
875,2221.8,2190.7
876,1953.4,1820.4
877,1777.7,1610.8
878,1679.1,1474
879,1490.8,1220.9
880,1523.6,1279.4
881,1501.5,1286.5
882,1768.5,1697.9
883,1604,1479.9
884,1681.4,1597.9
885,1606.7,1512.9
886,1668.3,1611.3
887,1950.7,2015.8
888,1939.3,2007.2
889,1688.2,1659.1
890,1594.4,1522.9
891,1552,1460.1
892,1424.2,1282.3
893,1342.7,1165.9
894,1288.4,1076.5
895,1358.5,1138.6
896,1688.1,1506.5
897,1758.7,1513.2
898,2132.7,2007.8
899,1985,1803.8
900,1772.1,1514.7
901,1758.2,1526.2
902,2008.4,1868.7
903,1965.2,1812.7
904,1930,1776.6
905,1936.2,1818.8
906,2076.5,2047.4
907,2079.3,2052.9
908,2135.1,2142.8
909,2003.1,1976.1
910,2274,2359.2
911,2080.7,2106.8
912,1886.8,1846.9
913,1514.8,1324.5
914,1466.2,1245.4
915,1481.1,1259.7
916,1482.6,1262.3
917,1494.2,1274
918,1527.6,1306.3
919,1606.9,1378.7
920,1930.9,1744
921,2212.5,2043.5
922,2360.5,2230
923,2170.1,1974.2
924,2463.3,2386.1
925,2210.8,2073.1
926,2226.3,2102.3
927,2043.4,1861.8
928,1731.4,1453.7
929,1741.2,1494.6
930,1733.2,1502
931,2133.4,2069
932,2220.8,2216.8
933,1988.1,1911.2
934,1983.5,1910.5
935,1942.5,1860.4
936,1804.6,1677.9
937,1870.7,1767.4
938,1852.7,1735.9
939,1712.4,1544.7
940,1682.4,1510.6
941,1674.2,1500.8
942,1604.1,1394.6
943,1557.5,1311.9
944,1596.5,1346.3
945,1625.1,1365.2
946,1820.8,1625.4
947,1904.3,1743
948,1791.7,1601.7
949,1576.4,1325.6
950,1760.5,1602.3
951,1760.1,1622.5
952,1878,1798.1
953,1678.3,1522.4
954,1903.3,1817.1
955,1998,1948.5
956,1761.5,1647.2
957,1672.1,1545.6
958,1574.6,1417.7
959,1448.2,1249
960,1505.3,1339
961,1504.5,1339.6
962,1637.7,1524.2
963,1633.5,1527
964,1454.7,1287.8
965,1304.8,1087.7
966,1297.2,1076.8
967,1312,1094.3
968,1319.3,1101.8
969,1302.1,1089.7
970,1285.6,1077.2
971,1528.2,1422
972,1796.6,1799.3
973,1752.8,1747.5
974,1828.2,1863.3
975,1585.7,1534.7
976,1683.8,1672.7
977,1730.9,1729.9
978,1927.1,1981.3
979,2044.8,2137
980,1659.8,1623.8
981,1395,1271.9
982,1264.1,1092.1
983,1187.5,986.5
984,1179.6,979.4
985,1186.8,988.2
986,1195.5,996.4
987,1190.6,993.1
988,1181.8,985
989,1188.7,990.4
990,1209.7,1009.9
991,1272.6,1064.4
992,1495.8,1288.4
993,1907.3,1769.9
994,2049.3,1946.6
995,1906.6,1746.6
996,1825.6,1632.9
997,1709.9,1500.4
998,1839.1,1674.9
999,1992.2,1891.2
1000,1696.6,1499.5
1001,1754.3,1623.8
1002,1812.1,1751.4
1003,1927.5,1918.1
1004,1691.5,1609.3
1005,1628.1,1540
1006,1498.7,1377.8
1007,1673.9,1633.9
1008,1848.3,1881.3
1009,1927.1,1991.2
1010,1711.9,1690.1
1011,1371.1,1222.1
1012,1227.3,1025.8
1013,1233.4,1031.6
1014,1253,1050.6
1015,1320.6,1110.5
1016,1644.5,1473.9
1017,2169.9,2108
1018,2108.1,2001.5
1019,1790,1561
1020,1676.6,1404.2
1021,1717.6,1491.9
1022,1617.8,1355.9
1023,1685.7,1457.3
1024,1529.4,1255.6
1025,1624.1,1422.3
1026,2010.3,1998.8
1027,2131.2,2166.2
1028,2092,2123
1029,1860.2,1817.6
1030,1636.7,1521.4
1031,1972.3,2001.5
1032,1630.8,1540
1033,1443.1,1278.8
1034,1356.9,1153
1035,1412.8,1230.3
1036,1310.2,1088.9
1037,1316.4,1094.1
1038,1339,1114.6
1039,1411.6,1178.2
1040,1604.5,1359.3
1041,1936.4,1728.8
1042,2011.9,1817.2
1043,1990.4,1788.9
1044,1875.9,1634.3
1045,1803.1,1572.8
1046,1826.6,1608.7
1047,1748.1,1508.5
1048,1692.5,1450
1049,1769.5,1591.2
1050,1631.1,1445
1051,2035.7,2008
1052,2094.5,2106.9
1053,1785.3,1703.3
1054,1791.2,1727.9
1055,1716.6,1647.7
1056,1759.6,1720.1
1057,1453.9,1303.1
1058,1435.2,1274.8
1059,1290.6,1080.9
1060,1266.7,1054.3
1061,1264.1,1052.6
1062,1281.8,1069.7
1063,1342.5,1123.7
1064,1653.4,1476.6
1065,1938.9,1789.3
1066,2560.7,2630.8
1067,1869.8,1684.1
1068,1816.9,1622.3
1069,1690.9,1484.4
1070,1780.1,1609.6
1071,1698.8,1506.4
1072,1632.6,1434.6
1073,1557.2,1373.7
1074,2005.4,2043.6
1075,1690.9,1616
1076,1482.1,1341.5
1077,1791,1787.8
1078,1826.9,1855.6
1079,1579.8,1539.1
1080,1497.5,1439.7
1081,1317.4,1194.3
1082,1307.7,1180.2
1083,1298.5,1172.4
1084,1269.3,1137.2
1085,1119.2,932.8
1086,1118.8,927.2
1087,1171.2,973.8
1088,1344,1138.2
1089,1490.4,1257.7
1090,1969,1899
1091,1741.3,1585.2
1092,1732,1578.2
1093,1656.8,1508.8
1094,1350.6,1092.5
1095,1504.4,1315.1
1096,1455.4,1272.4
1097,1406.4,1242.9
1098,1834.4,1870.9
1099,1671.2,1661.7
1100,1685.6,1697.8
1101,1447.7,1381.6
1102,1442.2,1387.7
1103,1207.5,1078.4
1104,1043.4,860
1105,1096.9,938.6
1106,1044.8,865.5
1107,1042.1,864.3
1108,1037.3,860.5
1109,1040.3,864.1
1110,1054.1,878.2
1111,1084,908.3
1112,1117.1,940.1
1113,1150.6,966
1114,1447.8,1360.8
1115,1355.2,1224.7
1116,1345.5,1211
1117,1197.4,1016.5
1118,1253,1104.7
1119,1450.1,1387.6
1120,1365.3,1278
1121,1189,1036.1
1122,1164.8,999.6
1123,1245.7,1107.5
1124,1358.8,1270.3
1125,1489.2,1454.3
1126,1402.5,1334.5
1127,1311.2,1207.2
1128,1125.2,953.1
1129,1214.7,1076.4
1130,1265.4,1142.6
1131,1185.2,1035.1
1132,1085.2,896.9
1133,1086.6,898.2
1134,1097.9,909.4
1135,1115.2,928.1
1136,1184.3,1018.2
1137,1164.5,995.7
1138,1350.4,1254.2
1139,1237.7,1100.3
1140,1324.5,1221.2
1141,1399.9,1329.3
1142,1229.6,1100.5
1143,1688.1,1736.2
1144,1704.6,1759.5
1145,1635.6,1655.6
1146,1590.4,1575.9
1147,1600.3,1577.8
1148,1462.8,1396.8
1149,1445.6,1382.3
1150,1592.2,1583.8
1151,1480.6,1427.9
1152,1777.6,1838.1
1153,1635.2,1639.5
1154,1316.6,1196.2
1155,1134.4,945.8
1156,1133.9,945.3
1157,1139.4,950.3
1158,1161.7,971.5
1159,1225.2,1027.5
1160,1442.5,1251.6
1161,1636.1,1435.7
1162,1721.7,1535.4
1163,1666.6,1456.4
1164,1727.9,1544.6
1165,1688.1,1516.4
1166,1868.6,1759.2
1167,1698.1,1526.5
1168,1610.5,1421.7
1169,1837.4,1775.7
1170,1671,1592.4
1171,1907.2,1917.6
1172,1999.5,2054.1
1173,2580.7,2870.7
1174,1975.9,2052.3
1175,2046.5,2162.6
1176,1750.8,1760.5
1177,1702.9,1696.6
1178,1674,1652.8
1179,1504.3,1421.2
1180,1375,1244.9
1181,1362.5,1226.1
1182,1232.2,1038.5
1183,1282.9,1076.7
1184,1420.3,1188.3
1185,1689.3,1475.2
