Time_Index,GT_1,CCGT_1,Coal_pp_1,Biomass_1,GBPV_1,RoofPV_1,Onshore_WT_1,Fuel_Cell_1,GT_2,CCGT_2,Coal_pp_2,Biomass_2,GBPV_2,RoofPV_2,Onshore_WT_2,Fuel_Cell_2,GT_3,CCGT_3,Coal_pp_3,Biomass_3,GBPV_3,RoofPV_3,Onshore_WT_3,Fuel_Cell_3
13,0.92,0.95,0.88,0.82,0.13617,0.13617,0.416,1,0.92,0.95,0.88,0.82,0.02007,0.02007,0.516,1,0.92,0.95,0.88,0.82,0.12113,0.12113,0.168,1
14,0.92,0.95,0.88,0.82,0.07543,0.07543,0.398,1,0.92,0.95,0.88,0.82,0.01713,0.01713,0.476,1,0.92,0.95,0.88,0.82,0.03379,0.03379,0.158,1
15,0.92,0.95,0.88,0.82,0.02733,0.02733,0.384,1,0.92,0.95,0.88,0.82,0.01875,0.01875,0.472,1,0.92,0.95,0.88,0.82,0.01605,0.01605,0.163,1
16,0.92,0.95,0.88,0.82,0.00036,0.00036,0.368,1,0.92,0.95,0.88,0.82,0.00217,0.00217,0.48,1,0.92,0.95,0.88,0.82,0.00112,0.00112,0.189,1
17,0.92,0.95,0.88,0.82,0,0,0.356,1,0.92,0.95,0.88,0.82,0,0,0.469,1,0.92,0.95,0.88,0.82,0,0,0.195,1
18,0.92,0.95,0.88,0.82,0,0,0.327,1,0.92,0.95,0.88,0.82,0,0,0.448,1,0.92,0.95,0.88,0.82,0,0,0.182,1
19,0.92,0.95,0.88,0.82,0,0,0.29,1,0.92,0.95,0.88,0.82,0,0,0.443,1,0.92,0.95,0.88,0.82,0,0,0.165,1
20,0.92,0.95,0.88,0.82,0,0,0.266,1,0.92,0.95,0.88,0.82,0,0,0.507,1,0.92,0.95,0.88,0.82,0,0,0.163,1
21,0.92,0.95,0.88,0.82,0,0,0.325,1,0.92,0.95,0.88,0.82,0,0,0.569,1,0.92,0.95,0.88,0.82,0,0,0.185,1
22,0.92,0.95,0.88,0.82,0,0,0.338,1,0.92,0.95,0.88,0.82,0,0,0.597,1,0.92,0.95,0.88,0.82,0,0,0.211,1
23,0.92,0.95,0.88,0.82,0,0,0.332,1,0.92,0.95,0.88,0.82,0,0,0.597,1,0.92,0.95,0.88,0.82,0,0,0.233,1
24,0.92,0.95,0.88,0.82,0,0,0.322,1,0.92,0.95,0.88,0.82,0,0,0.6,1,0.92,0.95,0.88,0.82,0,0,0.255,1
25,0.92,0.95,0.88,0.82,0,0,0.327,1,0.92,0.95,0.88,0.82,0,0,0.635,1,0.92,0.95,0.88,0.82,0,0,0.281,1
26,0.92,0.95,0.88,0.82,0,0,0.362,1,0.92,0.95,0.88,0.82,0,0,0.691,1,0.92,0.95,0.88,0.82,0,0,0.328,1
27,0.92,0.95,0.88,0.82,0,0,0.42,1,0.92,0.95,0.88,0.82,0,0,0.74,1,0.92,0.95,0.88,0.82,0,0,0.374,1
28,0.92,0.95,0.88,0.82,0,0,0.489,1,0.92,0.95,0.88,0.82,0,0,0.786,1,0.92,0.95,0.88,0.82,0,0,0.45,1
29,0.92,0.95,0.88,0.82,0,0,0.556,1,0.92,0.95,0.88,0.82,0,0,0.825,1,0.92,0.95,0.88,0.82,0,0,0.528,1
30,0.92,0.95,0.88,0.82,0,0,0.61,1,0.92,0.95,0.88,0.82,0,0,0.806,1,0.92,0.95,0.88,0.82,0,0,0.559,1
31,0.92,0.95,0.88,0.82,0,0,0.64,1,0.92,0.95,0.88,0.82,0,0,0.707,1,0.92,0.95,0.88,0.82,0,0,0.491,1
32,0.92,0.95,0.88,0.82,0,0,0.62,1,0.92,0.95,0.88,0.82,0,0,0.528,1,0.92,0.95,0.88,0.82,0,0,0.339,1
33,0.92,0.95,0.88,0.82,0,0,0.546,1,0.92,0.95,0.88,0.82,0,0,0.352,1,0.92,0.95,0.88,0.82,0,0,0.237,1
34,0.92,0.95,0.88,0.82,0.04921,0.04921,0.414,1,0.92,0.95,0.88,0.82,0.04413,0.04413,0.219,1,0.92,0.95,0.88,0.82,0.05185,0.05185,0.187,1
35,0.92,0.95,0.88,0.82,0.0923,0.0923,0.271,1,0.92,0.95,0.88,0.82,0.09298,0.09298,0.149,1,0.92,0.95,0.88,0.82,0.09852,0.09852,0.157,1
36,0.92,0.95,0.88,0.82,0.00681,0.00681,0.161,1,0.92,0.95,0.88,0.82,0.02049,0.02049,0.12,1,0.92,0.95,0.88,0.82,0.02606,0.02606,0.207,1
37,0.92,0.95,0.88,0.82,0.01934,0.01934,0.082,1,0.92,0.95,0.88,0.82,0.03312,0.03312,0.111,1,0.92,0.95,0.88,0.82,0.04609,0.04609,0.268,1
38,0.92,0.95,0.88,0.82,0.04576,0.04576,0.044,1,0.92,0.95,0.88,0.82,0.08244,0.08244,0.118,1,0.92,0.95,0.88,0.82,0.03713,0.03713,0.315,1
39,0.92,0.95,0.88,0.82,0.17661,0.17661,0.022,1,0.92,0.95,0.88,0.82,0.0423,0.0423,0.116,1,0.92,0.95,0.88,0.82,0.06339,0.06339,0.331,1
40,0.92,0.95,0.88,0.82,0.05347,0.05347,0.008,1,0.92,0.95,0.88,0.82,0.05554,0.05554,0.123,1,0.92,0.95,0.88,0.82,0.02301,0.02301,0.364,1
41,0.92,0.95,0.88,0.82,0,0,0.003,1,0.92,0.95,0.88,0.82,0,0,0.119,1,0.92,0.95,0.88,0.82,0,0,0.366,1
42,0.92,0.95,0.88,0.82,0,0,0.002,1,0.92,0.95,0.88,0.82,0,0,0.102,1,0.92,0.95,0.88,0.82,0,0,0.34,1
43,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.088,1,0.92,0.95,0.88,0.82,0,0,0.307,1
44,0.92,0.95,0.88,0.82,0,0,0.002,1,0.92,0.95,0.88,0.82,0,0,0.091,1,0.92,0.95,0.88,0.82,0,0,0.306,1
45,0.92,0.95,0.88,0.82,0,0,0.005,1,0.92,0.95,0.88,0.82,0,0,0.105,1,0.92,0.95,0.88,0.82,0,0,0.334,1
46,0.92,0.95,0.88,0.82,0,0,0.006,1,0.92,0.95,0.88,0.82,0,0,0.091,1,0.92,0.95,0.88,0.82,0,0,0.353,1
47,0.92,0.95,0.88,0.82,0,0,0.005,1,0.92,0.95,0.88,0.82,0,0,0.072,1,0.92,0.95,0.88,0.82,0,0,0.365,1
48,0.92,0.95,0.88,0.82,0,0,0.002,1,0.92,0.95,0.88,0.82,0,0,0.05,1,0.92,0.95,0.88,0.82,0,0,0.396,1
49,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.038,1,0.92,0.95,0.88,0.82,0,0,0.414,1
50,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.022,1,0.92,0.95,0.88,0.82,0,0,0.409,1
51,0.92,0.95,0.88,0.82,0,0,0.003,1,0.92,0.95,0.88,0.82,0,0,0.023,1,0.92,0.95,0.88,0.82,0,0,0.38,1
52,0.92,0.95,0.88,0.82,0,0,0.038,1,0.92,0.95,0.88,0.82,0,0,0.052,1,0.92,0.95,0.88,0.82,0,0,0.34,1
53,0.92,0.95,0.88,0.82,0,0,0.213,1,0.92,0.95,0.88,0.82,0,0,0.126,1,0.92,0.95,0.88,0.82,0,0,0.266,1
54,0.92,0.95,0.88,0.82,0,0,0.438,1,0.92,0.95,0.88,0.82,0,0,0.321,1,0.92,0.95,0.88,0.82,0,0,0.176,1
55,0.92,0.95,0.88,0.82,0,0,0.553,1,0.92,0.95,0.88,0.82,0,0,0.471,1,0.92,0.95,0.88,0.82,0,0,0.08,1
56,0.92,0.95,0.88,0.82,0,0,0.544,1,0.92,0.95,0.88,0.82,0,0,0.551,1,0.92,0.95,0.88,0.82,0,0,0.027,1
57,0.92,0.95,0.88,0.82,0,0,0.45,1,0.92,0.95,0.88,0.82,0,0,0.566,1,0.92,0.95,0.88,0.82,0,0,0.036,1
58,0.92,0.95,0.88,0.82,0.03172,0.03172,0.363,1,0.92,0.95,0.88,0.82,0.02581,0.02581,0.502,1,0.92,0.95,0.88,0.82,0.03509,0.03509,0.036,1
59,0.92,0.95,0.88,0.82,0.01737,0.01737,0.33,1,0.92,0.95,0.88,0.82,0.04662,0.04662,0.457,1,0.92,0.95,0.88,0.82,0.05938,0.05938,0.038,1
60,0.92,0.95,0.88,0.82,0.04213,0.04213,0.345,1,0.92,0.95,0.88,0.82,0.03042,0.03042,0.439,1,0.92,0.95,0.88,0.82,0.06204,0.06204,0.03,1
61,0.92,0.95,0.88,0.82,0.03184,0.03184,0.432,1,0.92,0.95,0.88,0.82,0.02899,0.02899,0.497,1,0.92,0.95,0.88,0.82,0.03752,0.03752,0.065,1
62,0.92,0.95,0.88,0.82,0.03713,0.03713,0.519,1,0.92,0.95,0.88,0.82,0.03981,0.03981,0.56,1,0.92,0.95,0.88,0.82,0.02088,0.02088,0.153,1
63,0.92,0.95,0.88,0.82,0.03112,0.03112,0.568,1,0.92,0.95,0.88,0.82,0.02753,0.02753,0.6,1,0.92,0.95,0.88,0.82,0.0207,0.0207,0.19,1
64,0.92,0.95,0.88,0.82,0.00242,0.00242,0.548,1,0.92,0.95,0.88,0.82,0.00687,0.00687,0.565,1,0.92,0.95,0.88,0.82,0.00365,0.00365,0.197,1
65,0.92,0.95,0.88,0.82,0,0,0.472,1,0.92,0.95,0.88,0.82,0,0,0.488,1,0.92,0.95,0.88,0.82,0,0,0.169,1
66,0.92,0.95,0.88,0.82,0,0,0.352,1,0.92,0.95,0.88,0.82,0,0,0.375,1,0.92,0.95,0.88,0.82,0,0,0.124,1
67,0.92,0.95,0.88,0.82,0,0,0.216,1,0.92,0.95,0.88,0.82,0,0,0.23,1,0.92,0.95,0.88,0.82,0,0,0.068,1
68,0.92,0.95,0.88,0.82,0,0,0.098,1,0.92,0.95,0.88,0.82,0,0,0.12,1,0.92,0.95,0.88,0.82,0,0,0.029,1
69,0.92,0.95,0.88,0.82,0,0,0.022,1,0.92,0.95,0.88,0.82,0,0,0.074,1,0.92,0.95,0.88,0.82,0,0,0.003,1
70,0.92,0.95,0.88,0.82,0,0,0.008,1,0.92,0.95,0.88,0.82,0,0,0.101,1,0.92,0.95,0.88,0.82,0,0,0.003,1
71,0.92,0.95,0.88,0.82,0,0,0.009,1,0.92,0.95,0.88,0.82,0,0,0.165,1,0.92,0.95,0.88,0.82,0,0,0.005,1
72,0.92,0.95,0.88,0.82,0,0,0.017,1,0.92,0.95,0.88,0.82,0,0,0.281,1,0.92,0.95,0.88,0.82,0,0,0.013,1
73,0.92,0.95,0.88,0.82,0,0,0.029,1,0.92,0.95,0.88,0.82,0,0,0.384,1,0.92,0.95,0.88,0.82,0,0,0.032,1
74,0.92,0.95,0.88,0.82,0,0,0.056,1,0.92,0.95,0.88,0.82,0,0,0.479,1,0.92,0.95,0.88,0.82,0,0,0.049,1
75,0.92,0.95,0.88,0.82,0,0,0.094,1,0.92,0.95,0.88,0.82,0,0,0.55,1,0.92,0.95,0.88,0.82,0,0,0.066,1
76,0.92,0.95,0.88,0.82,0,0,0.181,1,0.92,0.95,0.88,0.82,0,0,0.621,1,0.92,0.95,0.88,0.82,0,0,0.111,1
77,0.92,0.95,0.88,0.82,0,0,0.315,1,0.92,0.95,0.88,0.82,0,0,0.662,1,0.92,0.95,0.88,0.82,0,0,0.163,1
78,0.92,0.95,0.88,0.82,0,0,0.426,1,0.92,0.95,0.88,0.82,0,0,0.666,1,0.92,0.95,0.88,0.82,0,0,0.193,1
79,0.92,0.95,0.88,0.82,0,0,0.484,1,0.92,0.95,0.88,0.82,0,0,0.639,1,0.92,0.95,0.88,0.82,0,0,0.212,1
80,0.92,0.95,0.88,0.82,0,0,0.492,1,0.92,0.95,0.88,0.82,0,0,0.591,1,0.92,0.95,0.88,0.82,0,0,0.218,1
81,0.92,0.95,0.88,0.82,0,0,0.487,1,0.92,0.95,0.88,0.82,0,0,0.53,1,0.92,0.95,0.88,0.82,0,0,0.21,1
82,0.92,0.95,0.88,0.82,0.03508,0.03508,0.394,1,0.92,0.95,0.88,0.82,0.06692,0.06692,0.394,1,0.92,0.95,0.88,0.82,0.05187,0.05187,0.157,1
83,0.92,0.95,0.88,0.82,0.06393,0.06393,0.282,1,0.92,0.95,0.88,0.82,0.07599,0.07599,0.246,1,0.92,0.95,0.88,0.82,0.08674,0.08674,0.098,1
84,0.92,0.95,0.88,0.82,0.05308,0.05308,0.191,1,0.92,0.95,0.88,0.82,0.07693,0.07693,0.167,1,0.92,0.95,0.88,0.82,0.07773,0.07773,0.064,1
85,0.92,0.95,0.88,0.82,0.06004,0.06004,0.092,1,0.92,0.95,0.88,0.82,0.07686,0.07686,0.12,1,0.92,0.95,0.88,0.82,0.0841,0.0841,0.04,1
86,0.92,0.95,0.88,0.82,0.06001,0.06001,0.037,1,0.92,0.95,0.88,0.82,0.0798,0.0798,0.103,1,0.92,0.95,0.88,0.82,0.07519,0.07519,0.033,1
87,0.92,0.95,0.88,0.82,0.07055,0.07055,0.013,1,0.92,0.95,0.88,0.82,0.05072,0.05072,0.118,1,0.92,0.95,0.88,0.82,0.09783,0.09783,0.038,1
88,0.92,0.95,0.88,0.82,0.02382,0.02382,0.013,1,0.92,0.95,0.88,0.82,0.07933,0.07933,0.168,1,0.92,0.95,0.88,0.82,0.05643,0.05643,0.071,1
89,0.92,0.95,0.88,0.82,0,0,0.027,1,0.92,0.95,0.88,0.82,0,0,0.235,1,0.92,0.95,0.88,0.82,0,0,0.122,1
90,0.92,0.95,0.88,0.82,0,0,0.052,1,0.92,0.95,0.88,0.82,0,0,0.317,1,0.92,0.95,0.88,0.82,0,0,0.183,1
91,0.92,0.95,0.88,0.82,0,0,0.086,1,0.92,0.95,0.88,0.82,0,0,0.401,1,0.92,0.95,0.88,0.82,0,0,0.243,1
92,0.92,0.95,0.88,0.82,0,0,0.166,1,0.92,0.95,0.88,0.82,0,0,0.425,1,0.92,0.95,0.88,0.82,0,0,0.283,1
93,0.92,0.95,0.88,0.82,0,0,0.221,1,0.92,0.95,0.88,0.82,0,0,0.405,1,0.92,0.95,0.88,0.82,0,0,0.277,1
94,0.92,0.95,0.88,0.82,0,0,0.268,1,0.92,0.95,0.88,0.82,0,0,0.402,1,0.92,0.95,0.88,0.82,0,0,0.255,1
95,0.92,0.95,0.88,0.82,0,0,0.301,1,0.92,0.95,0.88,0.82,0,0,0.442,1,0.92,0.95,0.88,0.82,0,0,0.252,1
96,0.92,0.95,0.88,0.82,0,0,0.344,1,0.92,0.95,0.88,0.82,0,0,0.53,1,0.92,0.95,0.88,0.82,0,0,0.274,1
97,0.92,0.95,0.88,0.82,0,0,0.358,1,0.92,0.95,0.88,0.82,0,0,0.598,1,0.92,0.95,0.88,0.82,0,0,0.343,1
98,0.92,0.95,0.88,0.82,0,0,0.317,1,0.92,0.95,0.88,0.82,0,0,0.621,1,0.92,0.95,0.88,0.82,0,0,0.373,1
99,0.92,0.95,0.88,0.82,0,0,0.327,1,0.92,0.95,0.88,0.82,0,0,0.598,1,0.92,0.95,0.88,0.82,0,0,0.376,1
100,0.92,0.95,0.88,0.82,0,0,0.328,1,0.92,0.95,0.88,0.82,0,0,0.606,1,0.92,0.95,0.88,0.82,0,0,0.385,1
101,0.92,0.95,0.88,0.82,0,0,0.319,1,0.92,0.95,0.88,0.82,0,0,0.624,1,0.92,0.95,0.88,0.82,0,0,0.47,1
102,0.92,0.95,0.88,0.82,0,0,0.366,1,0.92,0.95,0.88,0.82,0,0,0.625,1,0.92,0.95,0.88,0.82,0,0,0.485,1
103,0.92,0.95,0.88,0.82,0,0,0.389,1,0.92,0.95,0.88,0.82,0,0,0.621,1,0.92,0.95,0.88,0.82,0,0,0.487,1
104,0.92,0.95,0.88,0.82,0,0,0.42,1,0.92,0.95,0.88,0.82,0,0,0.603,1,0.92,0.95,0.88,0.82,0,0,0.48,1
105,0.92,0.95,0.88,0.82,0,0,0.507,1,0.92,0.95,0.88,0.82,0,0,0.557,1,0.92,0.95,0.88,0.82,0,0,0.462,1
106,0.92,0.95,0.88,0.82,0.01981,0.01981,0.473,1,0.92,0.95,0.88,0.82,0.00743,0.00743,0.494,1,0.92,0.95,0.88,0.82,0.02704,0.02704,0.407,1
107,0.92,0.95,0.88,0.82,0.00746,0.00746,0.446,1,0.92,0.95,0.88,0.82,0.01575,0.01575,0.463,1,0.92,0.95,0.88,0.82,0.02013,0.02013,0.368,1
108,0.92,0.95,0.88,0.82,0.03706,0.03706,0.308,1,0.92,0.95,0.88,0.82,0.02002,0.02002,0.325,1,0.92,0.95,0.88,0.82,0.03574,0.03574,0.251,1
109,0.92,0.95,0.88,0.82,0.02155,0.02155,0.232,1,0.92,0.95,0.88,0.82,0.0408,0.0408,0.28,1,0.92,0.95,0.88,0.82,0.08982,0.08982,0.207,1
110,0.92,0.95,0.88,0.82,0.12036,0.12036,0.216,1,0.92,0.95,0.88,0.82,0.12178,0.12178,0.26,1,0.92,0.95,0.88,0.82,0.12406,0.12406,0.182,1
111,0.92,0.95,0.88,0.82,0.01257,0.01257,0.193,1,0.92,0.95,0.88,0.82,0.01671,0.01671,0.223,1,0.92,0.95,0.88,0.82,0.02392,0.02392,0.164,1
112,0.92,0.95,0.88,0.82,0.0112,0.0112,0.162,1,0.92,0.95,0.88,0.82,0.01165,0.01165,0.167,1,0.92,0.95,0.88,0.82,0.00648,0.00648,0.154,1
113,0.92,0.95,0.88,0.82,0,0,0.145,1,0.92,0.95,0.88,0.82,0,0,0.142,1,0.92,0.95,0.88,0.82,0,0,0.161,1
114,0.92,0.95,0.88,0.82,0,0,0.137,1,0.92,0.95,0.88,0.82,0,0,0.144,1,0.92,0.95,0.88,0.82,0,0,0.179,1
115,0.92,0.95,0.88,0.82,0,0,0.116,1,0.92,0.95,0.88,0.82,0,0,0.125,1,0.92,0.95,0.88,0.82,0,0,0.179,1
116,0.92,0.95,0.88,0.82,0,0,0.064,1,0.92,0.95,0.88,0.82,0,0,0.068,1,0.92,0.95,0.88,0.82,0,0,0.16,1
117,0.92,0.95,0.88,0.82,0,0,0.013,1,0.92,0.95,0.88,0.82,0,0,0.021,1,0.92,0.95,0.88,0.82,0,0,0.091,1
118,0.92,0.95,0.88,0.82,0,0,0.003,1,0.92,0.95,0.88,0.82,0,0,0.009,1,0.92,0.95,0.88,0.82,0,0,0.064,1
119,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0.003,1,0.92,0.95,0.88,0.82,0,0,0.053,1
120,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0.002,1,0.92,0.95,0.88,0.82,0,0,0.047,1
121,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.033,1
122,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0.02,1
123,0.92,0.95,0.88,0.82,0,0,0,1,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.01,1
124,0.92,0.95,0.88,0.82,0,0,0.001,1,0.92,0.95,0.88,0.82,0,0,0.012,1,0.92,0.95,0.88,0.82,0,0,0.003,1
125,0.92,0.95,0.88,0.82,0,0,0.005,1,0.92,0.95,0.88,0.82,0,0,0.054,1,0.92,0.95,0.88,0.82,0,0,0.001,1
126,0.92,0.95,0.88,0.82,0,0,0.044,1,0.92,0.95,0.88,0.82,0,0,0.139,1,0.92,0.95,0.88,0.82,0,0,0.007,1
127,0.92,0.95,0.88,0.82,0,0,0.195,1,0.92,0.95,0.88,0.82,0,0,0.256,1,0.92,0.95,0.88,0.82,0,0,0.011,1
128,0.92,0.95,0.88,0.82,0,0,0.417,1,0.92,0.95,0.88,0.82,0,0,0.409,1,0.92,0.95,0.88,0.82,0,0,0.02,1
129,0.92,0.95,0.88,0.82,0,0,0.662,1,0.92,0.95,0.88,0.82,0,0,0.567,1,0.92,0.95,0.88,0.82,0,0,0.028,1
130,0.92,0.95,0.88,0.82,0.05947,0.05947,0.811,1,0.92,0.95,0.88,0.82,0.05071,0.05071,0.683,1,0.92,0.95,0.88,0.82,0.06757,0.06757,0.045,1
131,0.92,0.95,0.88,0.82,0.08601,0.08601,0.865,1,0.92,0.95,0.88,0.82,0.08084,0.08084,0.739,1,0.92,0.95,0.88,0.82,0.08565,0.08565,0.061,1
132,0.92,0.95,0.88,0.82,0.03152,0.03152,0.865,1,0.92,0.95,0.88,0.82,0.03479,0.03479,0.744,1,0.92,0.95,0.88,0.82,0.04906,0.04906,0.073,1
133,0.92,0.95,0.88,0.82,0.11311,0.11311,0.834,1,0.92,0.95,0.88,0.82,0.12985,0.12985,0.74,1,0.92,0.95,0.88,0.82,0.12034,0.12034,0.08,1
134,0.92,0.95,0.88,0.82,0.05855,0.05855,0.807,1,0.92,0.95,0.88,0.82,0.07153,0.07153,0.676,1,0.92,0.95,0.88,0.82,0.05462,0.05462,0.101,1
135,0.92,0.95,0.88,0.82,0.09242,0.09242,0.76,1,0.92,0.95,0.88,0.82,0.06514,0.06514,0.613,1,0.92,0.95,0.88,0.82,0.04647,0.04647,0.119,1
136,0.92,0.95,0.88,0.82,0.03563,0.03563,0.721,1,0.92,0.95,0.88,0.82,0.02039,0.02039,0.555,1,0.92,0.95,0.88,0.82,0.01226,0.01226,0.112,1
137,0.92,0.95,0.88,0.82,0,0,0.678,1,0.92,0.95,0.88,0.82,0,0,0.488,1,0.92,0.95,0.88,0.82,0,0,0.089,1
138,0.92,0.95,0.88,0.82,0,0,0.6,1,0.92,0.95,0.88,0.82,0,0,0.411,1,0.92,0.95,0.88,0.82,0,0,0.069,1
139,0.92,0.95,0.88,0.82,0,0,0.511,1,0.92,0.95,0.88,0.82,0,0,0.351,1,0.92,0.95,0.88,0.82,0,0,0.058,1
140,0.92,0.95,0.88,0.82,0,0,0.447,1,0.92,0.95,0.88,0.82,0,0,0.299,1,0.92,0.95,0.88,0.82,0,0,0.05,1
141,0.92,0.95,0.88,0.82,0,0,0.419,1,0.92,0.95,0.88,0.82,0,0,0.26,1,0.92,0.95,0.88,0.82,0,0,0.046,1
142,0.92,0.95,0.88,0.82,0,0,0.372,1,0.92,0.95,0.88,0.82,0,0,0.219,1,0.92,0.95,0.88,0.82,0,0,0.034,1
143,0.92,0.95,0.88,0.82,0,0,0.337,1,0.92,0.95,0.88,0.82,0,0,0.188,1,0.92,0.95,0.88,0.82,0,0,0.024,1
144,0.92,0.95,0.88,0.82,0,0,0.321,1,0.92,0.95,0.88,0.82,0,0,0.167,1,0.92,0.95,0.88,0.82,0,0,0.017,1
145,0.92,0.95,0.88,0.82,0,0,0.305,1,0.92,0.95,0.88,0.82,0,0,0.149,1,0.92,0.95,0.88,0.82,0,0,0.01,1
146,0.92,0.95,0.88,0.82,0,0,0.274,1,0.92,0.95,0.88,0.82,0,0,0.118,1,0.92,0.95,0.88,0.82,0,0,0.008,1
147,0.92,0.95,0.88,0.82,0,0,0.261,1,0.92,0.95,0.88,0.82,0,0,0.087,1,0.92,0.95,0.88,0.82,0,0,0.007,1
148,0.92,0.95,0.88,0.82,0,0,0.211,1,0.92,0.95,0.88,0.82,0,0,0.054,1,0.92,0.95,0.88,0.82,0,0,0.006,1
149,0.92,0.95,0.88,0.82,0,0,0.158,1,0.92,0.95,0.88,0.82,0,0,0.027,1,0.92,0.95,0.88,0.82,0,0,0.003,1
150,0.92,0.95,0.88,0.82,0,0,0.107,1,0.92,0.95,0.88,0.82,0,0,0.014,1,0.92,0.95,0.88,0.82,0,0,0.002,1
151,0.92,0.95,0.88,0.82,0,0,0.065,1,0.92,0.95,0.88,0.82,0,0,0.01,1,0.92,0.95,0.88,0.82,0,0,0.001,1
152,0.92,0.95,0.88,0.82,0,0,0.05,1,0.92,0.95,0.88,0.82,0,0,0.009,1,0.92,0.95,0.88,0.82,0,0,0.001,1
153,0.92,0.95,0.88,0.82,0,0,0.043,1,0.92,0.95,0.88,0.82,0,0,0.01,1,0.92,0.95,0.88,0.82,0,0,0.001,1
154,0.92,0.95,0.88,0.82,0.05781,0.05781,0.036,1,0.92,0.95,0.88,0.82,0.05259,0.05259,0.009,1,0.92,0.95,0.88,0.82,0.04318,0.04318,0.001,1
155,0.92,0.95,0.88,0.82,0.06234,0.06234,0.022,1,0.92,0.95,0.88,0.82,0.06673,0.06673,0.006,1,0.92,0.95,0.88,0.82,0.05612,0.05612,0,1
156,0.92,0.95,0.88,0.82,0.09926,0.09926,0.012,1,0.92,0.95,0.88,0.82,0.0705,0.0705,0.005,1,0.92,0.95,0.88,0.82,0.0672,0.0672,0,1
157,0.92,0.95,0.88,0.82,0.0681,0.0681,0.011,1,0.92,0.95,0.88,0.82,0.08181,0.08181,0.006,1,0.92,0.95,0.88,0.82,0.10259,0.10259,0.001,1
158,0.92,0.95,0.88,0.82,0.11176,0.11176,0.011,1,0.92,0.95,0.88,0.82,0.12284,0.12284,0.011,1,0.92,0.95,0.88,0.82,0.20034,0.20034,0.001,1
159,0.92,0.95,0.88,0.82,0.16872,0.16872,0.015,1,0.92,0.95,0.88,0.82,0.04551,0.04551,0.029,1,0.92,0.95,0.88,0.82,0.0432,0.0432,0.003,1
