Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
208,520.05,237.6,170.16
209,555.05,253.6,181.68
210,602.2,275.2,197.04
211,600.75,274.48,196.56
212,584.65,267.12,191.28
213,561.25,256.4,183.6
214,522.65,238.8,171
215,473.5,216.32,154.92
216,430,196.48,140.64
217,401.45,183.44,131.4
218,387.25,176.96,126.6
219,379.45,173.36,124.2
220,378.9,173.12,123.96
221,389.85,178.16,127.56
222,426.05,194.72,139.32
223,494.65,226,161.88
224,531.3,242.8,173.88
225,533.25,243.68,174.48
226,535.95,244.88,175.32
227,536.15,244.96,175.44
228,530.95,242.64,173.76
229,522.2,238.64,170.88
230,517.75,236.56,169.44
231,513.1,234.4,167.88
232,516.6,236,168.96
233,550.4,251.52,180.12
234,588.9,269.04,192.6
235,584.55,267.12,191.28
236,570.05,260.48,186.6
237,548.65,250.72,179.52
238,512.5,234.16,167.76
239,464.85,212.4,152.04
240,423.4,193.44,138.48
241,397.1,181.52,129.96
242,383.95,175.44,125.64
243,377.9,172.64,123.6
244,379.6,173.44,124.2
245,391.5,178.88,128.04
246,430.65,196.72,140.88
247,499.55,228.32,163.56
248,536.1,244.96,175.44
249,536.15,244.96,175.44
250,532.95,243.52,174.36
251,531.05,242.64,173.76
252,526.8,240.72,172.32
253,519.4,237.28,169.92
254,516.4,236,168.96
255,511.5,233.68,167.28
256,514.95,235.28,168.48
257,548.25,250.48,179.4
258,589.05,269.2,192.72
259,586.85,268.16,192
260,572.4,261.6,187.2
261,550.45,251.52,180.12
262,512.75,234.32,167.76
263,463.75,211.92,151.8
264,420.6,192.16,137.52
265,392.1,179.12,128.28
266,376.45,172,123.12
267,369.05,168.64,120.72
268,368.9,168.56,120.6
269,380.35,173.76,124.44
270,416.1,190.08,136.2
271,480.4,219.52,157.2
272,524.85,239.84,171.72
273,537.2,245.44,175.68
274,545.95,249.52,178.68
275,553.65,252.96,181.08
276,555.6,253.84,181.8
277,553.4,252.88,181.08
278,550.95,251.76,180.24
279,543.65,248.4,177.84
280,542.35,247.84,177.48
281,568.2,259.68,186
282,597.55,273.04,195.6
283,591.5,270.24,193.56
284,573.95,262.24,187.8
285,549.85,251.2,179.88
286,511.2,233.6,167.16
287,462.55,211.36,151.32
288,420.25,192,137.52
289,390.55,178.48,127.8
290,375.65,171.6,122.88
291,368.55,168.4,120.48
292,367.2,167.84,120.12
293,377.1,172.32,123.36
294,410.85,187.76,134.4
295,475.05,217.04,155.4
296,517,236.24,169.08
297,525.15,240,171.84
298,527.4,240.96,172.56
299,528.1,241.28,172.8
300,525.8,240.24,172.08
301,521,238.08,170.52
302,518.9,237.12,169.8
303,516.95,236.24,169.08
304,524.45,239.6,171.6
305,557.05,254.56,182.28
306,589.75,269.52,192.96
307,584.4,267.04,191.28
308,569.45,260.24,186.36
309,550.5,251.6,180.12
310,522.25,238.64,170.88
311,484.35,221.28,158.52
312,446.55,204,146.04
313,417.05,190.56,136.44
314,399.8,182.72,130.8
315,390.1,178.32,127.68
316,387.1,176.88,126.6
317,391.15,178.72,127.92
318,404.85,185.04,132.48
319,430.55,196.72,140.88
320,456.4,208.56,149.28
321,485.65,221.92,158.88
322,508.65,232.4,166.44
323,518.35,236.8,169.68
324,515.1,235.36,168.48
325,506.9,231.6,165.96
326,497.4,227.28,162.72
327,492.9,225.2,161.28
328,496.9,227.04,162.6
329,529.3,241.84,173.28
330,573.5,262.08,187.68
331,573.35,262,187.68
332,560.5,256.08,183.48
333,542.85,248.08,177.6
334,521.35,238.24,170.64
335,495.8,226.56,162.24
336,466.05,212.96,152.52
337,438.05,200.16,143.4
338,421.3,192.48,137.88
339,414.5,189.44,135.6
340,413.7,189.04,135.36
341,418.35,191.12,136.8
342,430,196.48,140.64
343,450.1,205.68,147.24
344,471.8,215.52,154.44
345,502.45,229.6,164.4
346,525.5,240.08,171.96
347,538.1,245.84,176.04
348,542.3,247.76,177.48
349,541.85,247.6,177.36
350,536.35,245.12,175.56
351,533.05,243.6,174.48
352,537.35,245.52,175.8
353,572.15,261.44,187.2
354,617.65,282.24,202.08
355,618.4,282.56,202.32
356,601.2,274.72,196.8
357,584,266.88,191.04
358,554.9,253.6,181.56
359,520.15,237.68,170.16
360,485.35,221.76,158.76
361,460.9,210.64,150.84
362,448.15,204.72,146.64
363,443,202.4,144.96
364,443.2,202.56,144.96
365,453.45,207.2,148.32
366,480.2,219.44,157.08
367,524.4,239.6,171.6
368,556.95,254.48,182.28
369,579.35,264.72,189.6
370,591.85,270.48,193.68
371,596.65,272.64,195.24
372,591.9,270.48,193.68
373,582.4,266.08,190.56
374,575.75,263.12,188.4
375,568.5,259.76,186
376,569.6,260.32,186.36
377,598.6,273.52,195.84
378,637.25,291.2,208.44
379,630.2,288,206.16
380,611.15,279.28,199.92
381,583.4,266.56,190.8
382,543.4,248.32,177.84
383,495.55,226.4,162.12
384,451.4,206.32,147.72
385,421.1,192.4,137.76
386,404,184.64,132.12
387,396.3,181.12,129.6
388,394.25,180.16,129
389,404.2,184.72,132.24
390,438.55,200.32,143.52
391,500.85,228.88,163.92
392,537.4,245.6,175.8
393,542.8,248.08,177.6
394,543.05,248.08,177.6
395,542.65,248,177.48
396,540.55,246.96,176.88
397,537.7,245.68,175.92
398,537.05,245.44,175.68
399,535.25,244.56,175.08
400,540.4,246.88,176.88
401,570.4,260.64,186.6
402,599.5,273.92,196.2
403,591.15,270.08,193.44
404,573.35,262,187.56
405,546.8,249.92,178.92
406,507.25,231.76,165.96
407,457.9,209.2,149.76
408,413.5,188.96,135.24
409,383.65,175.28,125.52
410,368.4,168.32,120.48
411,360.5,164.72,117.96
412,359.6,164.32,117.6
413,371.4,169.68,121.56
414,409.75,187.2,134.04
415,480.05,219.36,157.08
416,516.85,236.16,169.08
417,520.7,237.92,170.28
418,523.85,239.36,171.36
419,527.9,241.2,172.68
420,528.15,241.36,172.8
421,525.7,240.24,172.08
422,525.1,240,171.84
423,522.6,238.8,171
424,527,240.8,172.44
425,558.35,255.12,182.76
426,611.1,279.28,199.92
427,615.55,281.28,201.48
428,604.85,276.4,197.88
429,584.05,266.88,191.04
430,548.75,250.8,179.52
431,503.8,230.24,164.76
432,462.45,211.28,151.32
433,436.7,199.52,142.92
434,424.4,193.92,138.84
435,419.3,191.6,137.16
436,420.25,192,137.52
437,433.6,198.08,141.84
438,472.3,215.84,154.56
439,543,248.08,177.6
440,580.05,265.04,189.72
441,581.65,265.76,190.32
442,578.7,264.48,189.36
443,575.55,262.96,188.4
444,568.4,259.68,186
445,559.5,255.68,183
446,553.9,253.12,181.2
447,547.3,250.08,179.16
448,551.05,251.84,180.36
449,578.85,264.48,189.48
450,617.6,282.24,202.08
451,616.5,281.68,201.72
452,605.85,276.88,198.24
453,581.55,265.76,190.2
454,543.25,248.24,177.72
455,495,226.16,162
456,451.25,206.24,147.72
457,421.7,192.72,138
458,405,185.12,132.6
459,397.35,181.52,129.96
460,395.65,180.8,129.48
461,407.6,186.32,133.32
462,443.3,202.56,145.08
463,509.4,232.8,166.68
464,544.55,248.88,178.08
465,548.5,250.64,179.4
466,550.1,251.36,180
467,551.65,252.08,180.48
468,549.4,251.04,179.76
469,543.25,248.24,177.72
470,539.3,246.48,176.4
471,532.8,243.44,174.36
472,533.7,243.92,174.6
473,557.4,254.72,182.4
474,601.25,274.8,196.8
475,599,273.68,195.96
476,584.3,266.96,191.16
477,565.25,258.32,184.92
478,538.05,245.84,176.04
479,500.95,228.88,163.92
480,462.15,211.12,151.2
481,434.5,198.56,142.2
482,419,191.44,137.04
483,409.5,187.12,133.92
484,405.8,185.44,132.72
485,409.25,187.04,133.92
486,422.5,193.12,138.24
487,448.65,205.04,146.76
488,479.8,219.2,156.96
489,514.5,235.12,168.36
490,544.75,248.88,178.2
491,563.35,257.44,184.32
492,571.3,261.04,186.96
493,571.25,261.04,186.96
494,564,257.68,184.56
495,554.8,253.52,181.56
496,550.9,251.68,180.24
497,571.95,261.28,187.2
498,608.05,277.84,198.96
499,601.8,274.96,196.92
500,580.95,265.44,190.08
501,559.5,255.6,183
502,531.7,242.96,173.88
503,497.55,227.36,162.84
504,464.15,212.08,151.92
505,438.05,200.16,143.4
506,423.7,193.6,138.72
507,416.8,190.4,136.32
508,413.75,189.12,135.36
509,416.5,190.32,136.32
510,427.85,195.52,139.92
511,447.95,204.72,146.64
512,469.95,214.72,153.84
513,499.1,228,163.32
514,517.05,236.24,169.2
515,524.15,239.52,171.48
516,524.05,239.44,171.36
517,520.9,238,170.4
518,516.95,236.24,169.08
519,515.4,235.52,168.6
520,516.3,235.92,168.96
521,540.4,246.88,176.88
522,576.35,263.36,188.52
523,576.55,263.44,188.64
524,566,258.64,185.28
525,545.25,249.2,178.44
526,511.1,233.6,167.16
527,472.9,216.08,154.68
528,434.15,198.32,142.08
529,406.3,185.68,132.96
530,392.1,179.12,128.28
531,386.35,176.56,126.48
532,386.65,176.72,126.6
533,398.65,182.16,130.44
534,435.2,198.8,142.32
535,501.7,229.2,164.16
536,539.05,246.32,176.28
537,547.1,250.08,179.04
538,551.65,252.08,180.48
539,555.95,254.08,181.92
540,555.15,253.6,181.68
541,549.8,251.2,179.88
542,546.05,249.52,178.68
543,540.15,246.8,176.76
544,540.4,246.88,176.88
545,565.05,258.16,184.8
546,600.95,274.56,196.68
547,595.95,272.32,195
548,577.05,263.68,188.88
549,549.85,251.2,179.88
550,509.85,232.96,166.8
551,459.7,210,150.36
552,414.25,189.28,135.6
553,385.35,176.08,126
554,367.05,167.76,120
555,358.1,163.6,117.12
556,355.8,162.56,116.4
557,365.95,167.2,119.76
558,399.7,182.64,130.8
559,466.85,213.28,152.76
560,503.9,230.24,164.88
561,507.65,232,166.08
562,505.55,231.04,165.36
563,506.15,231.28,165.6
564,504.05,230.32,164.88
565,498.25,227.68,162.96
566,494.45,226,161.76
567,489.15,223.52,159.96
568,489.55,223.68,160.2
569,514.05,234.88,168.24
570,559.1,255.52,183
571,559.6,255.68,183.12
572,546.3,249.6,178.68
573,524.65,239.76,171.6
574,488.8,223.36,159.84
575,444,202.88,145.32
576,402.1,183.76,131.52
577,375.15,171.44,122.76
578,361.6,165.2,118.32
579,355.55,162.48,116.28
580,355.85,162.64,116.4
581,367.3,167.84,120.12
582,404.35,184.72,132.24
583,474.5,216.8,155.28
584,513.65,234.72,168.12
585,516.9,236.16,169.08
586,519.8,237.52,170.16
587,522.15,238.56,170.88
588,520.8,238,170.4
589,515.6,235.6,168.72
590,512.8,234.32,167.76
591,506.9,231.6,165.96
592,506.1,231.28,165.6
593,528.9,241.68,173.04
594,578.65,264.48,189.36
595,582,266,190.44
596,568.75,259.92,186.12
597,547.9,250.4,179.28
598,510.55,233.28,167.04
599,462.15,211.12,151.2
600,419.25,191.52,137.16
601,391.25,178.8,128.04
602,376.95,172.24,123.36
603,370.2,169.12,121.2
604,369.9,169.04,121.08
605,381.6,174.4,124.8
606,417.15,190.64,136.44
607,486.85,222.4,159.36
608,524.1,239.52,171.48
609,526.6,240.64,172.32
610,525,239.92,171.84
611,523.7,239.28,171.36
612,520.25,237.76,170.16
613,516.1,235.84,168.84
614,515.7,235.6,168.72
615,514.25,234.96,168.24
616,518.2,236.8,169.56
617,543.4,248.32,177.84
618,583,266.4,190.8
619,581.5,265.68,190.2
620,568.05,259.6,185.88
621,545.55,249.28,178.56
622,509.55,232.8,166.68
623,462.2,211.2,151.2
624,419.8,191.84,137.4
625,391.1,178.72,127.92
626,374.7,171.2,122.52
627,367.15,167.76,120.12
628,364.45,166.56,119.28
629,374.1,170.96,122.4
630,407.1,186,133.2
631,469.4,214.48,153.6
632,511.65,233.76,167.4
633,524.7,239.76,171.72
634,533.25,243.68,174.48
635,539,246.32,176.28
636,540.85,247.12,176.88
637,537.15,245.44,175.68
638,532.85,243.52,174.36
639,525.8,240.24,172.08
640,523.4,239.2,171.24
641,539.4,246.48,176.52
642,562.7,257.12,184.2
643,554.4,253.36,181.44
644,535.75,244.8,175.32
645,515.6,235.6,168.72
646,488.35,223.2,159.84
647,452.05,206.56,147.84
648,415.25,189.76,135.84
649,385.65,176.24,126.12
650,367.8,168.08,120.36
651,358.7,163.84,117.36
652,355.3,162.32,116.28
653,358.5,163.84,117.36
654,373.5,170.72,122.28
655,399.45,182.56,130.68
656,427.15,195.12,139.8
657,456.45,208.56,149.4
658,475.2,217.2,155.52
659,483.55,220.96,158.16
660,478.9,218.8,156.72
661,469.85,214.72,153.72
662,457.6,209.12,149.64
663,450.1,205.68,147.24
664,450.25,205.76,147.24
665,471.75,215.52,154.44
666,517.05,236.24,169.2
667,520.8,238,170.4
668,505.6,231.04,165.36
669,490.1,224,160.44
670,466.55,213.2,152.64
671,436.5,199.44,142.8
672,404.4,184.8,132.36
673,378.35,172.88,123.72
674,362.7,165.76,118.68
675,354.4,161.92,115.92
676,351.7,160.64,115.08
677,355.05,162.24,116.16
678,365.6,167.12,119.64
679,384.95,175.92,126
680,404.5,184.8,132.36
681,433.65,198.16,141.84
682,453.45,207.2,148.32
683,464.25,212.16,151.92
684,468.05,213.92,153.12
685,466.6,213.2,152.64
686,461.85,211.04,151.08
687,456.85,208.8,149.52
688,458.85,209.68,150.12
689,485.3,221.76,158.76
690,539.1,246.32,176.4
691,547.5,250.16,179.16
692,534.55,244.24,174.96
693,514.4,235.04,168.36
694,481.9,220.24,157.68
695,442.45,202.16,144.72
696,405.75,185.44,132.72
697,380.95,174.08,124.68
698,368.7,168.48,120.6
699,363.9,166.32,119.04
700,365.35,166.96,119.52
701,378.55,172.96,123.84
702,415.9,190,136.08
703,486.3,222.24,159.12
704,524.05,239.44,171.36
705,529,241.68,173.16
706,533.5,243.76,174.48
707,533.05,243.6,174.48
708,530.75,242.48,173.64
709,526.6,240.64,172.32
710,522.7,238.8,171
711,517.15,236.32,169.2
712,518.95,237.2,169.8
713,540.85,247.12,176.88
714,592.25,270.64,193.8
715,598.7,273.6,195.96
716,584.6,267.12,191.28
717,562.65,257.12,184.2
718,524.25,239.6,171.48
719,475.45,217.2,155.64
720,431.65,197.2,141.12
721,404.2,184.72,132.24
722,389.2,177.92,127.32
723,382,174.56,124.92
724,381.3,174.24,124.8
725,392.3,179.28,128.4
726,427.85,195.52,139.92
727,495.5,226.4,162.12
728,532.95,243.52,174.48
729,536.6,245.2,175.56
730,536.05,244.88,175.44
731,533.5,243.76,174.48
732,527.35,240.96,172.56
733,518.3,236.8,169.68
734,511,233.52,167.16
735,502.4,229.6,164.4
736,499.5,228.24,163.44
737,516.7,236.08,168.96
738,564.65,258.08,184.8
739,571.15,260.96,186.84
740,557.4,254.72,182.4
741,534.7,244.32,174.96
742,498.55,227.84,163.08
743,450.8,205.92,147.48
744,408.2,186.56,133.56
745,380.85,174,124.56
746,365.75,167.12,119.64
747,358.5,163.84,117.24
748,358.5,163.84,117.36
749,368.65,168.4,120.6
750,404.75,184.96,132.48
751,472.35,215.84,154.56
752,511.4,233.68,167.28
753,515.25,235.44,168.6
754,515.6,235.6,168.72
755,515.2,235.44,168.6
756,514.15,234.96,168.24
757,508.85,232.48,166.56
758,503.95,230.32,164.88
759,493.85,225.6,161.64
760,489.6,223.68,160.2
761,503.75,230.16,164.76
762,548.5,250.64,179.4
763,554.6,253.44,181.44
764,541,247.2,177
765,519.2,237.2,169.92
766,483.9,221.12,158.28
767,436.9,199.6,142.92
768,395.2,180.64,129.24
769,368.25,168.24,120.48
770,354.35,161.92,115.92
771,348,159.04,113.88
772,348.55,159.28,114
773,360.15,164.56,117.84
774,397.65,181.68,130.08
775,467.75,213.76,153
776,504.9,230.72,165.24
777,511.8,233.84,167.4
778,516.45,236,168.96
779,521.45,238.32,170.64
780,522.6,238.8,171
781,520.5,237.84,170.28
782,519.6,237.44,170.04
783,517.95,236.64,169.44
784,522.65,238.8,171
785,545.25,249.2,178.44
786,579,264.56,189.48
787,580.65,265.28,189.96
788,567.3,259.28,185.64
789,546.7,249.84,178.92
790,511.3,233.6,167.28
791,465.2,212.56,152.16
792,423.85,193.68,138.72
793,396.75,181.28,129.84
794,382.3,174.72,125.04
795,377.15,172.32,123.36
796,377.9,172.64,123.6
797,389.55,178,127.44
798,427.35,195.2,139.8
799,497,227.12,162.6
800,531.3,242.8,173.88
801,535.5,244.72,175.2
802,534.25,244.08,174.84
803,533,243.6,174.48
804,527.85,241.2,172.68
805,518.25,236.8,169.56
806,511.75,233.84,167.4
807,503.8,230.24,164.76
808,501.15,229.04,164.04
809,516.1,235.84,168.84
810,557.4,254.72,182.28
811,563,257.28,184.2
812,549.1,250.88,179.64
813,530.65,242.4,173.64
814,503.05,229.84,164.64
815,465.45,212.72,152.28
816,424.95,194.16,139.08
817,395.05,180.48,129.24
818,378.5,172.96,123.84
819,369.35,168.72,120.84
820,365.8,167.12,119.64
821,368.55,168.4,120.48
822,381.9,174.48,124.92
823,408.15,186.48,133.56
824,435.15,198.8,142.32
825,463.6,211.84,151.68
826,480.95,219.76,157.44
827,486.9,222.48,159.36
828,483.15,220.8,158.16
829,475.15,217.12,155.52
830,465.15,212.56,152.16
831,458.9,209.68,150.24
832,459.45,210,150.24
833,477.55,218.24,156.24
834,523.65,239.28,171.36
835,533.7,243.84,174.6
836,521.35,238.24,170.64
837,506.65,231.52,165.84
838,484.25,221.28,158.4
839,454.35,207.6,148.68
840,422.95,193.28,138.36
841,397.8,181.76,130.2
842,383.55,175.28,125.4
843,376.9,172.24,123.36
844,375.05,171.36,122.76
845,377.95,172.64,123.6
846,388.95,177.76,127.2
847,407.3,186.08,133.2
848,429.75,196.32,140.52
849,459.45,210,150.24
850,478.5,218.64,156.6
851,486.45,222.24,159.12
852,489.1,223.52,159.96
853,487.1,222.56,159.36
854,480.2,219.44,157.08
855,475.3,217.2,155.52
856,477.95,218.4,156.36
857,498.75,227.92,163.2
858,543.5,248.32,177.84
859,536.35,245.04,175.56
860,510.2,233.2,166.92
861,497,227.12,162.6
862,475.55,217.28,155.64
863,459.2,209.84,150.24
864,421.55,192.64,137.88
865,393.3,179.68,128.64
866,379.95,173.6,124.32
867,375.1,171.44,122.76
868,376.45,172,123.12
869,388.4,177.52,127.08
870,424.85,194.16,138.96
871,491.35,224.48,160.8
872,524.45,239.6,171.6
873,529.1,241.76,173.16
874,526.3,240.48,172.2
875,524.9,239.84,171.72
876,520.25,237.68,170.16
877,511,233.52,167.16
878,503.85,230.24,164.88
879,494.9,226.16,161.88
880,491.25,224.4,160.68
881,506.5,231.44,165.72
882,554.7,253.44,181.56
883,568.6,259.84,186
884,554.5,253.36,181.44
885,530.1,242.24,173.4
886,492.1,224.88,161.04
887,446.4,203.92,146.04
888,404.75,184.96,132.48
889,378.5,172.96,123.84
890,364.8,166.64,119.28
891,359.35,164.24,117.48
892,360.05,164.48,117.84
893,372.05,170,121.68
894,409.85,187.28,134.04
895,477.2,218,156.12
896,510.9,233.44,167.16
897,514.45,235.12,168.36
898,514.85,235.2,168.36
899,515.3,235.52,168.6
900,513.65,234.72,168
901,508.45,232.32,166.32
902,504.55,230.56,165.12
903,498.25,227.68,162.96
904,498.65,227.84,163.08
905,515.85,235.68,168.84
906,561.35,256.48,183.6
907,572.7,261.68,187.32
908,561.15,256.4,183.6
909,540.7,247.04,176.88
910,505.6,231.04,165.36
911,459.5,210,150.36
912,419.85,191.84,137.4
913,394.85,180.4,129.12
914,382.9,174.96,125.28
915,379,173.12,123.96
916,381.35,174.32,124.8
917,394.2,180.16,129
918,433.95,198.32,141.96
919,504,230.32,164.88
920,538,245.84,176.04
921,542.2,247.68,177.48
922,539.45,246.48,176.52
923,536.1,244.96,175.44
924,530.05,242.24,173.4
925,521.8,238.4,170.76
926,517.4,236.4,169.32
927,512.85,234.4,167.76
928,517.75,236.56,169.44
929,539.15,246.4,176.4
930,580.85,265.44,190.08
931,587.45,268.48,192.24
932,572.8,261.68,187.44
933,550.2,251.44,180
934,512.9,234.4,167.76
935,463.2,211.68,151.56
936,421.2,192.48,137.76
937,393.6,179.92,128.76
938,379.75,173.52,124.2
939,373.25,170.56,122.16
940,373.7,170.72,122.28
941,386.25,176.48,126.36
942,425.4,194.32,139.2
943,494.65,226,161.88
944,526.55,240.64,172.32
945,526.65,240.64,172.32
946,522.4,238.72,170.88
947,519.45,237.36,169.92
948,513.65,234.72,168.12
949,505.35,230.88,165.36
950,500,228.48,163.56
951,492.1,224.8,161.04
952,490.75,224.24,160.56
953,505.25,230.88,165.36
954,550.75,251.68,180.24
955,567.85,259.52,185.88
956,557.5,254.8,182.4
957,538.9,246.24,176.28
958,505.65,231.04,165.36
959,459.35,209.92,150.24
960,419.15,191.52,137.16
961,394.1,180.08,129
962,381.05,174.16,124.68
963,375.5,171.6,122.88
964,376.6,172.08,123.24
965,388.75,177.6,127.2
966,425.3,194.32,139.2
967,491.7,224.72,160.92
968,525.2,240,171.84
969,525.25,240,171.84
970,519.5,237.36,170.04
971,515.5,235.6,168.6
972,508.85,232.48,166.56
973,498.5,227.84,163.08
974,492.65,225.12,161.16
975,485.95,222,159
976,483.7,221.04,158.28
977,497.95,227.6,162.96
978,537.75,245.68,175.92
979,544.3,248.72,178.08
980,528.8,241.6,173.04
981,508.9,232.56,166.56
982,481.35,219.92,157.44
983,444.75,203.2,145.44
984,408.1,186.48,133.56
985,380.65,173.92,124.56
986,365.3,166.88,119.52
987,356.1,162.72,116.52
988,352.75,161.2,115.44
989,356.6,162.96,116.64
990,370.75,169.44,121.32
991,397.05,181.44,129.96
992,426,194.64,139.32
993,459.95,210.16,150.48
994,486.15,222.16,159.12
995,498.5,227.84,163.08
996,500.3,228.64,163.68
997,495.7,226.48,162.24
998,488.55,223.2,159.84
999,481.4,219.92,157.44
1000,477.95,218.4,156.36
1001,492.6,225.12,161.16
1002,529.3,241.84,173.28
1003,536.55,245.2,175.56
1004,521.1,238.08,170.52
1005,504.05,230.4,164.88
1006,481.45,220,157.44
1007,452.95,206.96,148.2
1008,423.4,193.52,138.6
1009,401.65,183.52,131.4
1010,389.65,178.08,127.44
1011,385.55,176.24,126.12
1012,385.9,176.32,126.24
